comment,replies,date,user_name
"Nice t-shirt, a man of good taste! 🤘😀🤘",['Talking about Mr. Walker of course. 😁'],2024-10-28T09:46:02Z,@sverkegrndahl1650
Joey’s ready to rock out with the crocs out,[],2024-10-28T09:43:02Z,@artonion420
I feel like “does it get hot in Australia?“ is a hilarious question,[],2024-10-28T09:05:40Z,@artonion420
KGLW 4EVER!!,[],2024-10-28T06:28:06Z,@nigelthornberry626
Can't wait to see these guys at the Frost Theatre in Stanford next Monday 🎸🤘🏽,[],2024-10-28T04:53:36Z,@bamgrok
such a Melbourne band,[],2024-10-28T03:34:38Z,@non_brewed_condiment
Saw them this past August. Best show I’ve seen in a looooong time.,[],2024-10-28T02:01:25Z,@scotchvelo
Crocs and guitars should never appear in the same video,[],2024-10-28T00:20:46Z,@swanny3382
"Everytime you hear ""like"", drink.",[],2024-10-27T21:48:46Z,@INSKI-SYNTH
I guess I. ow why he is so creative…looks like snow usage to me….,[],2024-10-27T21:46:21Z,@HenriksenDolf
24:46 Barcelona story is insane,[],2024-10-27T21:10:43Z,@iwannakostenko
I’ve replaced the op amp on my Flatiron fuzz with a Juried Engineering LM308N - Precision Op Amp and it sounds f-ing awesome…best $10 mod,[],2024-10-27T18:40:42Z,@brainjellyTV
My friend dragged me to one of their shows. Each of their songs starts out good but they never go anywhere.,[],2024-10-27T18:16:25Z,@teddnagurski5583
Dueling mustaches...,[],2024-10-27T17:18:07Z,@darrencampbell8817
The devi ever fuzz pedals were awesome..,[],2024-10-27T17:09:45Z,@elephantricity
The band that bought all the guitars that wouldn't sell because the headstock/body/everything was weird,[],2024-10-27T14:57:33Z,@neilpatrickhairless
"2:17 hes like yea im one of...uh, what he just said 😅",[],2024-10-27T14:13:12Z,@NintenDub
Probably the most fun band name to say out loud…,[],2024-10-27T14:13:10Z,@dankygnome5083
"Wow strings that work....thats a miracle.

Its just weird to say theyre good cuz reakly any brand of string is good.its like saying shoes are good, and they can handle feet walking in them. Mind blown 🤯,i know",[],2024-10-27T14:11:43Z,@NintenDub
Such a refreshing band,[],2024-10-27T12:01:07Z,@TIMExBANDIT
iw@ts,[],2024-10-27T11:10:33Z,@MACKHAWKSS
Sooo… they keep on calling it MICROtonal but in reality it only has some quarter tones here and there….,"['Sure, they could be more specific, and it’s very entry level stuff, but I hope you’re not arguing 24tet is not microtonal?']",2024-10-27T10:56:29Z,@simaojoseph
Please for the love of god give us a Sturgill Simpson/Lauer Joamets rundown their current tour is sounding unbelievable,"['No comment 😉', '@@premierguitar god bless you']",2024-10-27T07:39:13Z,@chrishockey9776
OH MY GOD IVE BEEN WAITING FOR,[],2024-10-27T05:50:34Z,@jacksonsherrill9484
there might be more spoken ‘like’ in the video than the thumbs up count,[],2024-10-27T05:27:26Z,@colewmiddleton
That has to be the worst rig rundown Or one of the worst I have ever watched!!!,[],2024-10-27T02:58:42Z,@thesaj1110
The irony of him talking about how it's just a clock on his pedalboard and then the rundown gets cut short because it's time for soundcheck 😂,[],2024-10-27T00:52:56Z,@forlornfoghorn
That Idris sounds sooo good 😭👏🏼,[],2024-10-26T22:23:51Z,@ernestschmidt8761
i've been waiting,[],2024-10-26T15:54:36Z,@steelingcable6350
Harnonic flights,[],2024-10-26T15:03:12Z,@ImmortalDuke
The most important part of the rig is the blue crocs,[],2024-10-26T14:48:29Z,@mynameisnotcory
"take a shot every time he says ""like""
edit: ok I think I'm dying",[],2024-10-26T13:49:23Z,@lazylion420
"Been waiting for this rundown. Awesome, Thanks!",['Enjoy!'],2024-10-26T13:43:30Z,@tronic5x5
i just thought after years of doing these videos this bald fuck would learn a few things about guitars and be able to ask better questions,"['Bald fuck here, what did I miss?']",2024-10-26T13:06:15Z,@oldpezza5318
Amazing rundown love these guys!! props for the DarkThrone Shirt!!,[],2024-10-26T12:36:48Z,@jefferyschmitz3009
Modular table setup rundown when????,[],2024-10-26T12:16:41Z,@k.g.47
"Bleeding hipst3rs. And please take off the darkthrone shirt, boy.","['shush Karen.', 'Lil how is Gizzard hipsters?']",2024-10-26T06:54:34Z,@karljanus8308
barefooting and tube amps don't mix.,[],2024-10-26T06:44:40Z,@xpump876
"I own the exact flying V, the faded series were unloved when released but they are a wicked workhorse.",[],2024-10-26T06:02:28Z,@dirtmonkey4x435
"Iconic band,iconic rigs,iconic riffs, iconic mustache and iconic crocs. Love the Kings! Keep it up guys 🥰",[],2024-10-26T05:34:08Z,@CatFelixtube
joey is tha man,[],2024-10-26T04:56:07Z,@haikalemir3623
Where can I get that Dolly Parton shirt??,['https://www.instagram.com/localsummerdesigns'],2024-10-26T04:27:12Z,@Brandon-en5js
"I actually searched for this last week, I did not know if they had done one yet.  Thanks!",[],2024-10-26T04:01:21Z,@Nic______
1:13 holy shit 100º Celsius is no joke! 🔥🔥🔥,[],2024-10-26T03:58:57Z,@saggygnaw
Oh really,[],2024-10-26T03:54:22Z,@christophernunez6473
DARK THRONE SHIRT GOES HARD,[],2024-10-26T02:01:16Z,@christianhoff689
Wow Jess the party pooper!,['There would be no live rock’n’roll without these very important party poopers'],2024-10-26T01:23:06Z,@Iamnotcertain
"I'm sorry?! A King Gizzard EQD pedal? I don't need a vox pedal, but I would absolutely buy an EQD/KGLW vox pedal anyways!",[],2024-10-26T00:58:17Z,@MrNovember91
hell yes! gizz making it big !,[],2024-10-25T23:30:47Z,@danielcarter3928
"0:49 I'm sorry, what?",[],2024-10-25T23:13:57Z,@llewodcm20
Joey LOVE the Under A Funeral Moon t shirt!! nice one maaaate,[],2024-10-25T22:57:42Z,@coldacre
Yeah fuck yeah fuckin oath,[],2024-10-25T22:03:54Z,@michaeldebavay5914
29:08 What does he mean with 12s? anyone knows what strings he is using?,['I think they have an Ernie Ball endorsement so either magnum or mammoth slinkies would be my guess'],2024-10-25T21:59:51Z,@RHCP686
Straya!,[],2024-10-25T21:52:09Z,@NeonBlade
They really would have run out of time without that cheeky stiff prior to filming.,[],2024-10-25T21:37:19Z,@alinack69
"God that tone is shit, but cool rigdown",[],2024-10-25T21:33:47Z,@g3ng4rb0i3
The only other thing that would have made this perfect is for Stu to walk back to the amp and show that it has an “11” setting,[],2024-10-25T18:48:35Z,@unclefreddy2009
As someone who is a rabid fan of the band and have seen them many times nothing makes me happier than to hear Stu say that they most likely will revisit the land of microtonal (and others too). I was getting a little worried with b741 that this was going to be a more permanent direction. The best band in many many years.,['LW and FMB are both top 5 so i would love another microtonal'],2024-10-25T18:41:54Z,@unclefreddy2009
Stu is allergic to shoes,[],2024-10-25T16:45:13Z,@katana2635
"comment # 301 
goo job bois",[],2024-10-25T16:39:38Z,@joegrant6542
Cant believe he's using a Devi Ever fuzz! She was one of the OG boutique pedal makers.,[],2024-10-25T16:38:45Z,@theyreMineralsMarie
"13:51 ""knopflery shit"" ",[],2024-10-25T16:31:00Z,@nclsrfn
18.09 that was hot,[],2024-10-25T15:32:48Z,@nes8936
Which pedal does Stu leg drop on? 😂,[],2024-10-25T14:11:01Z,@natedetailscars
I saw King Gizzard at Bonaroo in 2015. That was a fun set.,[],2024-10-25T13:16:10Z,@garrettmancuso4417
dudes rocking crocks and a darkthrone tee shirt talkinbout how the microtonal trills are familier cus he's into cheesy r & b folk (whatever that is).... that the most fucking brunswick (of melbourne australia (where these cunts are from)) thing i've ever heard,[],2024-10-25T12:44:51Z,@axisvillain7222
DARKTHRONE!,[],2024-10-25T11:30:05Z,@t3r080
They are the most skilled artistic creative free band currently in existence. Freaking bad ass.,[],2024-10-25T11:29:21Z,@greatstuffs
"I just have to say, people need to stop saying “you guys’s”. It’s embarrassing.",[],2024-10-25T11:08:17Z,@Dan.Solo.Chicago
I'm just here for the flying microtonal banana,[],2024-10-25T11:06:31Z,@jevinday
i always thought these guys would look cooler based off the name,"['Crocs and darkthrone t-shirt. If that’s not cool I don’t want to be cool. These boys are way too chill to care about theatrics, but they do have some sick video backdrops throughout their shows. Go see them live if you haven’t']",2024-10-25T10:22:07Z,@user-pl7lr5dn8q
Dark Throne shirt and Crocs. Perfection.,[],2024-10-25T10:19:39Z,@alexfynney1891
Greatest band out,[],2024-10-25T10:12:00Z,@ajolle4230
someone should tell stu they made reissues of the samurais in the early 2000s,[],2024-10-25T10:02:00Z,@dixinmayas938
Foook yeah. This band had been redefining music and music business while Rick Beato laments the death of top 40 rock. Ausssieee,"['Hell yeah, that tragic boomer can get rekt']",2024-10-25T09:56:47Z,@lukenovotny5638
Cool dudes 🤙,[],2024-10-25T09:07:27Z,@jamproject9
24:28 Gibson should really make Stu a holy explorer signature. It would fly of the shelves like crazy.,[],2024-10-25T08:56:19Z,@SBanas
For me they're the most important and interesting band of this century. I'm sure they're gonna be remembered as a Pink Floyd of our generation.,[],2024-10-25T08:32:54Z,@SBanas
"Love how quickly it went from ""This thing is literally just a clock"" to ""TIME IS UP, BOYS""",[],2024-10-25T08:18:05Z,@nicklassayshi
WOOOO King gizz!,[],2024-10-25T08:03:06Z,@TheBayman99
long overdue! brilliant stuff!,[],2024-10-25T08:01:13Z,@henrydemonfreid1985
"Waiting for Crocs to go full circle 💩

👍🇦🇺",[],2024-10-25T07:20:45Z,@shanebrbich5698
"These guys are epic, what a combo",[],2024-10-25T07:13:04Z,@Jonoz1969
Your best episode...,[],2024-10-25T07:10:13Z,@Mottspockets
"I dont even listen to these guys, i just love people nerding about guitar gear",[],2024-10-25T07:08:06Z,@joshualessore7652
nice Darkthrone shirt !,[],2024-10-25T07:05:04Z,@artielukas888
FINALLYYY,[],2024-10-25T06:13:36Z,@benguarno1363
Damn where's cookie dawg? 😢,[],2024-10-25T05:45:50Z,@cursed.records
"Love rig rundown, I've been hoping for a gizz episode for YEARS! Thankyou so much!",['Our pleasure!'],2024-10-25T05:18:00Z,@Lozarenn
"I'm not sure who's idea it was to wear the fake moustaches, but they look great!",[],2024-10-25T04:47:08Z,@Polyphemus.
Jess not having it,[],2024-10-25T04:44:25Z,@Krameberry
ALL HAIL DARK FUNERAL.,[],2024-10-25T04:15:50Z,@Patrick-mg3jp
su tatuaje del oxxo  de Joey xd,[],2024-10-25T04:14:54Z,@alex_xro
28:00 dude rips a Mastodon Riff immediately. Huh knew I liked this band hahaha!,['From which song? Love that little riff he plays.'],2024-10-25T03:10:42Z,@JDubzDrumz
“I’m on that trill sh!t.” —Joey,[],2024-10-25T03:10:09Z,@samson782
Joey wearing Crocs is a power move,[],2024-10-25T03:03:04Z,@thelawsonman
38:28 Mum was NOT having this bullshit.,[],2024-10-25T02:37:17Z,@41DegreesSouth
"Back in my day when we wanted the notes between a fret we had to bend the string. Rock on, Gizz.",[],2024-10-25T02:06:51Z,@Les537
that show was so dope! the guitars sounded phenomenal! and then Cavs' twin hit the stage! lol,[],2024-10-25T01:56:16Z,@melvined
That woman at the start talking about low tunings with 10g strings lol Drop D doesn't count,[],2024-10-25T01:49:27Z,@DrMurdercock
"I love Stu's mentality on guitars at 23:19, not caring about the neck shape, or being nit-picky about little details. Just using the instruments for the experimentation and art of it all, and embracing the differences between his guitars.",[],2024-10-25T01:25:54Z,@alexraia1377
"Best band ever. I don't care. You will probably comment a band down there like ""best band ever...what about the beatles"" or whatever band and the answer is yes better than those.",[],2024-10-25T01:03:19Z,@disliked1390
what a stupid band name,[],2024-10-25T00:59:40Z,@sixthgatebass
"If I love Omnium Gatherum, where should I go next in their discography? I love the variety. The boogies boogey and the rock rocks. I like the one after it petrosomething or other it’s just a little heavy on the heavy. Which is good stuff but their strength is going from Gaia to Sadie Sorceress","['Their other variety album is gumboot soup, with songs like The Great Chain of Being, and Beginners luck!! But if you want vibes of Gaia in a whole album, check out PetroDragonic/Infest, and if you want more Sadie vibes, check out some gems like Gilgamesh and Change', 'Try Changes, I feel like you would appreciate that album:)', 'Laminated Denim is severely underrated, Hypertension is one of their best tracks. Fishing for Fishies has a ton of boogies and fun variety from folk to Devo. Sketches is a classic and what Stu says is a good first album to listen to. Mind Fuzz and Float Along Fill Your Lungs are probably the core of their sound.']",2024-10-25T00:53:19Z,@Mick-mi7zg
Stu. One day at a time. ❤,[],2024-10-25T00:31:30Z,@patrickmcmanus5373
"Of course, Stu is barefoot lol",[],2024-10-25T00:16:08Z,@JustoBlondo
